accession	description
"GCA_017544235.1"	"ASM1754423v1 assembly for Lachnospiraceae bacterium"
"GCA_017544265.1"	"ASM1754426v1 assembly for Bacteroidales bacterium"
"GCA_017544285.1"	"ASM1754428v1 assembly for Lachnospiraceae bacterium"
"GCA_017544305.1"	"ASM1754430v1 assembly for Lachnospiraceae bacterium"
"GCA_017544325.1"	"ASM1754432v1 assembly for Treponema sp."
"GCA_017544345.1"	"ASM1754434v1 assembly for Alloprevotella sp."
"GCA_017544485.1"	"ASM1754448v1 assembly for Alphaproteobacteria bacterium"
"GCA_017544565.1"	"ASM1754456v1 assembly for Lachnospiraceae bacterium"
"GCA_017544585.1"	"ASM1754458v1 assembly for Clostridia bacterium"
"GCA_017546365.1"	"ASM1754636v1 assembly for Bacteroidales bacterium"
"GCA_017546385.1"	"ASM1754638v1 assembly for Bacteroidales bacterium"
"GCA_017546395.1"	"ASM1754639v1 assembly for Clostridia bacterium"
"GCA_017546425.1"	"ASM1754642v1 assembly for Oscillospiraceae bacterium"
"GCA_017558955.1"	"ASM1755895v1 assembly for Clostridia bacterium"
"GCA_017559005.1"	"ASM1755900v1 assembly for Clostridia bacterium"
"GCA_017559045.1"	"ASM1755904v1 assembly for Eggerthellaceae bacterium"
"GCA_017559085.1"	"ASM1755908v1 assembly for Oscillospiraceae bacterium"
"GCA_017559185.1"	"ASM1755918v1 assembly for Oscillospiraceae bacterium"
"GCA_017559255.1"	"ASM1755925v1 assembly for Prevotella sp."
"GCA_017559345.1"	"ASM1755934v1 assembly for Clostridia bacterium"
"GCA_017559355.1"	"ASM1755935v1 assembly for Muribaculaceae bacterium"
"GCA_017559385.1"	"ASM1755938v1 assembly for Paludibacteraceae bacterium"
"GCA_017559485.1"	"ASM1755948v1 assembly for Bacteroidaceae bacterium"
"GCA_017559505.1"	"ASM1755950v1 assembly for Paludibacteraceae bacterium"
"GCA_017621055.1"	"ASM1762105v1 assembly for Muribaculaceae bacterium"
"GCA_017621075.1"	"ASM1762107v1 assembly for Lachnospiraceae bacterium"
"GCA_017621085.1"	"ASM1762108v1 assembly for Clostridia bacterium"
"GCA_017621155.1"	"ASM1762115v1 assembly for Clostridia bacterium"
"GCA_017621175.1"	"ASM1762117v1 assembly for Paludibacteraceae bacterium"
"GCA_017621195.1"	"ASM1762119v1 assembly for Bacillota bacterium"
"GCA_017621255.1"	"ASM1762125v1 assembly for Prevotella sp."
"GCA_017621305.1"	"ASM1762130v1 assembly for Bacteroidaceae bacterium"
"GCA_017621355.1"	"ASM1762135v1 assembly for Elusimicrobiaceae bacterium"
"GCA_017621395.1"	"ASM1762139v1 assembly for Clostridia bacterium"
"GCA_017621415.1"	"ASM1762141v1 assembly for Clostridia bacterium"
"GCA_017621435.1"	"ASM1762143v1 assembly for Clostridia bacterium"
"GCA_017621545.1"	"ASM1762154v1 assembly for Lachnospiraceae bacterium"
"GCA_017621575.1"	"ASM1762157v1 assembly for Clostridia bacterium"
"GCA_017621585.1"	"ASM1762158v1 assembly for Oscillospiraceae bacterium"
"GCA_017621615.1"	"ASM1762161v1 assembly for Muribaculaceae bacterium"
"GCA_017621635.1"	"ASM1762163v1 assembly for Alphaproteobacteria bacterium"
"GCA_017621655.1"	"ASM1762165v1 assembly for Clostridia bacterium"
"GCA_017621675.1"	"ASM1762167v1 assembly for Alistipes sp."
"GCA_017622475.1"	"ASM1762247v1 assembly for Bacilli bacterium"
"GCA_017622505.1"	"ASM1762250v1 assembly for Lachnospiraceae bacterium"
"GCA_017622535.1"	"ASM1762253v1 assembly for Lachnospiraceae bacterium"
"GCA_017622575.1"	"ASM1762257v1 assembly for Lachnospiraceae bacterium"
"GCA_017622685.1"	"ASM1762268v1 assembly for Peptococcaceae bacterium"
"GCA_017622695.1"	"ASM1762269v1 assembly for Bacteroidales bacterium"
"GCA_017622735.1"	"ASM1762273v1 assembly for Treponema sp."
"GCA_017622875.1"	"ASM1762287v1 assembly for Lachnospiraceae bacterium"
"GCA_017622885.1"	"ASM1762288v1 assembly for Lachnospiraceae bacterium"
"GCA_017622915.1"	"ASM1762291v1 assembly for Eubacterium sp."
"GCA_017627495.1"	"ASM1762749v1 assembly for Methanomethylophilus sp."
"GCA_017627515.1"	"ASM1762751v1 assembly for Acidaminococcaceae bacterium"
"GCA_017627765.1"	"ASM1762776v1 assembly for Prevotella sp."
"GCA_017627795.1"	"ASM1762779v1 assembly for Pseudobutyrivibrio sp."
"GCA_017627815.1"	"ASM1762781v1 assembly for Aeriscardovia sp."
"GCA_017627835.1"	"ASM1762783v1 assembly for Butyrivibrio sp."
"GCA_017627855.1"	"ASM1762785v1 assembly for Prevotella sp."
"GCA_017634195.1"	"ASM1763419v1 assembly for Agathobacter sp."
"GCA_017634255.1"	"ASM1763425v1 assembly for Lachnospiraceae bacterium"
"GCA_017634315.1"	"ASM1763431v1 assembly for Lachnospiraceae bacterium"
"GCA_017634375.1"	"ASM1763437v1 assembly for Succinivibrio sp."
"GCA_017634385.1"	"ASM1763438v1 assembly for Bacilli bacterium"
"GCA_017634435.1"	"ASM1763443v1 assembly for Clostridia bacterium"
"GCA_017634455.1"	"ASM1763445v1 assembly for Lachnospiraceae bacterium"
"GCA_017634475.1"	"ASM1763447v1 assembly for Eubacterium sp."
"GCA_017634535.1"	"ASM1763453v1 assembly for Lachnospiraceae bacterium"
"GCA_017634555.1"	"ASM1763455v1 assembly for Eubacterium sp."
"GCA_017634575.1"	"ASM1763457v1 assembly for Bacillota bacterium"
"GCA_017634595.1"	"ASM1763459v1 assembly for Bacteroidales bacterium"
"GCA_017634735.1"	"ASM1763473v1 assembly for Bacteroidales bacterium"
"GCA_017634755.1"	"ASM1763475v1 assembly for Acidaminococcaceae bacterium"
"GCA_017634795.1"	"ASM1763479v1 assembly for Chryseobacterium sp."
"GCA_017648305.1"	"ASM1764830v1 assembly for Bacteroidales bacterium"
"GCA_017648315.1"	"ASM1764831v1 assembly for Clostridia bacterium"
"GCA_017648345.1"	"ASM1764834v1 assembly for Bacteroidales bacterium"
"GCA_017648355.1"	"ASM1764835v1 assembly for Bacteroidales bacterium"
"GCA_017648385.1"	"ASM1764838v1 assembly for Bacteroidales bacterium"
"GCA_017648425.1"	"ASM1764842v1 assembly for Clostridia bacterium"
"GCA_017648445.1"	"ASM1764844v1 assembly for Alistipes sp."
"GCA_017648525.1"	"ASM1764852v1 assembly for Clostridia bacterium"
"GCA_017648545.1"	"ASM1764854v1 assembly for Bacteroidales bacterium"
"GCA_017648555.1"	"ASM1764855v1 assembly for Alistipes sp."
"GCA_017648565.1"	"ASM1764856v1 assembly for Alphaproteobacteria bacterium"
"GCA_017648665.1"	"ASM1764866v1 assembly for Paludibacteraceae bacterium"
"GCA_017648705.1"	"ASM1764870v1 assembly for Lachnospiraceae bacterium"
"GCA_017648715.1"	"ASM1764871v1 assembly for Lachnospiraceae bacterium"
"GCA_017648725.1"	"ASM1764872v1 assembly for Lachnospiraceae bacterium"
"GCA_017648755.1"	"ASM1764875v1 assembly for Lachnospiraceae bacterium"
"GCA_017648785.1"	"ASM1764878v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017649515.1"	"ASM1764951v1 assembly for Oscillospiraceae bacterium"
"GCA_017649645.1"	"ASM1764964v1 assembly for Clostridiales bacterium"
"GCA_017649685.1"	"ASM1764968v1 assembly for Salinivirgaceae bacterium"
"GCA_017649805.1"	"ASM1764980v1 assembly for bacterium"
"GCA_017649815.1"	"ASM1764981v1 assembly for Paludibacteraceae bacterium"
"GCA_017649845.1"	"ASM1764984v1 assembly for Paludibacteraceae bacterium"
"GCA_017649855.1"	"ASM1764985v1 assembly for Bacteroidales bacterium"
"GCA_017649885.1"	"ASM1764988v1 assembly for Paludibacteraceae bacterium"
"GCA_017649895.1"	"ASM1764989v1 assembly for Alphaproteobacteria bacterium"
"GCA_017649925.1"	"ASM1764992v1 assembly for Paludibacteraceae bacterium"
"GCA_017649945.1"	"ASM1764994v1 assembly for Bacteroidales bacterium"
"GCA_017649955.1"	"ASM1764995v1 assembly for Salinivirgaceae bacterium"
"GCA_017649985.1"	"ASM1764998v1 assembly for Spirochaetaceae bacterium"
"GCA_017650005.1"	"ASM1765000v1 assembly for Bacteroidales bacterium"
"GCA_017650025.1"	"ASM1765002v1 assembly for Bacteroidales bacterium"
"GCA_017650045.1"	"ASM1765004v1 assembly for Bacteroidaceae bacterium"
"GCA_017650065.1"	"ASM1765006v1 assembly for Bacteroidales bacterium"
"GCA_017650085.1"	"ASM1765008v1 assembly for Bacteroidaceae bacterium"
"GCA_017650105.1"	"ASM1765010v1 assembly for Bacteroidaceae bacterium"
"GCA_017650125.1"	"ASM1765012v1 assembly for Bacteroidales bacterium"
"GCA_017650135.1"	"ASM1765013v1 assembly for Bacteroidales bacterium"
"GCA_017650165.1"	"ASM1765016v1 assembly for Campylobacter sp."
"GCA_017650185.1"	"ASM1765018v1 assembly for Neisseriaceae bacterium"
"GCA_017650195.1"	"ASM1765019v1 assembly for Ruminococcus sp."
"GCA_017650225.1"	"ASM1765022v1 assembly for Bacteroidales bacterium"
"GCA_017650245.1"	"ASM1765024v1 assembly for Bacteroidales bacterium"
"GCA_017650255.1"	"ASM1765025v1 assembly for Alphaproteobacteria bacterium"
"GCA_017650285.1"	"ASM1765028v1 assembly for Bacteroidales bacterium"
"GCA_017650305.1"	"ASM1765030v1 assembly for Bacteroidales bacterium"
"GCA_017650325.1"	"ASM1765032v1 assembly for Salinivirgaceae bacterium"
"GCA_017650375.1"	"ASM1765037v1 assembly for Alphaproteobacteria bacterium"
"GCA_017650405.1"	"ASM1765040v1 assembly for Clostridia bacterium"
"GCA_017650425.1"	"ASM1765042v1 assembly for Bacteroidaceae bacterium"
"GCA_017650485.1"	"ASM1765048v1 assembly for Paludibacteraceae bacterium"
"GCA_017650505.1"	"ASM1765050v1 assembly for Alphaproteobacteria bacterium"
"GCA_017650525.1"	"ASM1765052v1 assembly for Fibrobacter sp."
"GCA_017650535.1"	"ASM1765053v1 assembly for Clostridia bacterium"
"GCA_017650685.1"	"ASM1765068v1 assembly for Bacteroidales bacterium"
"GCA_017650705.1"	"ASM1765070v1 assembly for Verrucomicrobiota bacterium"
"GCA_017650725.1"	"ASM1765072v1 assembly for Lachnospiraceae bacterium"
"GCA_017650745.1"	"ASM1765074v1 assembly for Bacteroidales bacterium"
"GCA_017650825.1"	"ASM1765082v1 assembly for Clostridia bacterium"
"GCA_017650845.1"	"ASM1765084v1 assembly for Clostridia bacterium"
"GCA_017650865.1"	"ASM1765086v1 assembly for Bacilli bacterium"
"GCA_017650885.1"	"ASM1765088v1 assembly for Bacteroidales bacterium"
"GCA_017650905.1"	"ASM1765090v1 assembly for Prevotella sp."
"GCA_017650925.1"	"ASM1765092v1 assembly for bacterium"
"GCA_017650945.1"	"ASM1765094v1 assembly for Alphaproteobacteria bacterium"
"GCA_017651145.1"	"ASM1765114v1 assembly for Clostridiales bacterium"
"GCA_017651245.1"	"ASM1765124v1 assembly for Bacteroidaceae bacterium"
"GCA_017651265.1"	"ASM1765126v1 assembly for Prevotella sp."
"GCA_017651315.1"	"ASM1765131v1 assembly for Bacteroidaceae bacterium"
"GCA_017651405.1"	"ASM1765140v1 assembly for Prevotella sp."
"GCA_017651425.1"	"ASM1765142v1 assembly for Bacteroidales bacterium"
"GCA_017651435.1"	"ASM1765143v1 assembly for Bacteroidaceae bacterium"
"GCA_017651465.1"	"ASM1765146v1 assembly for Bacteroidales bacterium"
"GCA_017651475.1"	"ASM1765147v1 assembly for Paludibacteraceae bacterium"
"GCA_017651505.1"	"ASM1765150v1 assembly for Bacteroidaceae bacterium"
"GCA_017651515.1"	"ASM1765151v1 assembly for Muribaculaceae bacterium"
"GCA_017651545.1"	"ASM1765154v1 assembly for Elusimicrobiaceae bacterium"
"GCA_017651585.1"	"ASM1765158v1 assembly for Treponema sp."
"GCA_017651625.1"	"ASM1765162v1 assembly for Elusimicrobiota bacterium"
"GCA_017651645.1"	"ASM1765164v1 assembly for Bacteroidales bacterium"
"GCA_017651665.1"	"ASM1765166v1 assembly for Bacteroidales bacterium"
"GCA_017651685.1"	"ASM1765168v1 assembly for Treponema sp."
"GCA_017651725.1"	"ASM1765172v1 assembly for Paludibacteraceae bacterium"
"GCA_017651745.1"	"ASM1765174v1 assembly for Lachnospiraceae bacterium"
"GCA_017651765.1"	"ASM1765176v1 assembly for Lachnospiraceae bacterium"
"GCA_017651785.1"	"ASM1765178v1 assembly for Bacteroidales bacterium"
"GCA_017651795.1"	"ASM1765179v1 assembly for Bacteroidales bacterium"
"GCA_017651825.1"	"ASM1765182v1 assembly for Paludibacteraceae bacterium"
"GCA_017651845.1"	"ASM1765184v1 assembly for Alphaproteobacteria bacterium"
"GCA_017651865.1"	"ASM1765186v1 assembly for Bacteroidales bacterium"
"GCA_017651885.1"	"ASM1765188v1 assembly for Prevotella sp."
"GCA_017651905.1"	"ASM1765190v1 assembly for Alphaproteobacteria bacterium"
"GCA_017651945.1"	"ASM1765194v1 assembly for Lachnospiraceae bacterium"
"GCA_017651965.1"	"ASM1765196v1 assembly for Bacteroidales bacterium"
"GCA_017651985.1"	"ASM1765198v1 assembly for Bacteroidales bacterium"
"GCA_017384405.1"	"ASM1738440v1 assembly for Thermoguttaceae bacterium"
"GCA_017384435.1"	"ASM1738443v1 assembly for Lachnospiraceae bacterium"
"GCA_017384505.1"	"ASM1738450v1 assembly for Lachnospiraceae bacterium"
"GCA_017384565.1"	"ASM1738456v1 assembly for Bacillota bacterium"
"GCA_017384665.1"	"ASM1738466v1 assembly for Bacillota bacterium"
"GCA_017384685.1"	"ASM1738468v1 assembly for Pseudobutyrivibrio sp."
"GCA_017384725.1"	"ASM1738472v1 assembly for Treponema sp."
"GCA_017384765.1"	"ASM1738476v1 assembly for Clostridiales bacterium"
"GCA_017384785.1"	"ASM1738478v1 assembly for Clostridium sp."
"GCA_017384805.1"	"ASM1738480v1 assembly for Bacteroidales bacterium"
"GCA_017384825.1"	"ASM1738482v1 assembly for Selenomonas sp."
"GCA_017384845.1"	"ASM1738484v1 assembly for Oscillospiraceae bacterium"
"GCA_017384855.1"	"ASM1738485v1 assembly for Bacillota bacterium"
"GCA_017384885.1"	"ASM1738488v1 assembly for Schwartzia sp. (in: firmicutes)"
"GCA_017384895.1"	"ASM1738489v1 assembly for Bacteroidales bacterium"
"GCA_017387435.1"	"ASM1738743v1 assembly for Alistipes sp."
"GCA_017387465.1"	"ASM1738746v1 assembly for Muribaculaceae bacterium"
"GCA_017387475.1"	"ASM1738747v1 assembly for Clostridia bacterium"
"GCA_017387505.1"	"ASM1738750v1 assembly for Methanocorpusculum sp."
"GCA_017387515.1"	"ASM1738751v1 assembly for Paludibacteraceae bacterium"
"GCA_017387525.1"	"ASM1738752v1 assembly for Phascolarctobacterium sp."
"GCA_017387565.1"	"ASM1738756v1 assembly for Lachnospiraceae bacterium"
"GCA_017387575.1"	"ASM1738757v1 assembly for Bacteroidaceae bacterium"
"GCA_017387605.1"	"ASM1738760v1 assembly for Oscillospiraceae bacterium"
"GCA_017387615.1"	"ASM1738761v1 assembly for Bacteroidaceae bacterium"
"GCA_017387665.1"	"ASM1738766v1 assembly for Bacteroidales bacterium"
"GCA_017387685.1"	"ASM1738768v1 assembly for Clostridia bacterium"
"GCA_017387705.1"	"ASM1738770v1 assembly for Lachnospiraceae bacterium"
"GCA_017387725.1"	"ASM1738772v1 assembly for Clostridia bacterium"
"GCA_017387735.1"	"ASM1738773v1 assembly for Bacteroidales bacterium"
"GCA_017387765.1"	"ASM1738776v1 assembly for Paludibacteraceae bacterium"
"GCA_017388065.1"	"ASM1738806v1 assembly for Bacteroidaceae bacterium"
"GCA_017388105.1"	"ASM1738810v1 assembly for Clostridia bacterium"
"GCA_017388115.1"	"ASM1738811v1 assembly for Lachnospiraceae bacterium"
"GCA_017388145.1"	"ASM1738814v1 assembly for Fibrobacter sp."
"GCA_017388165.1"	"ASM1738816v1 assembly for Bacilli bacterium"
"GCA_017388175.1"	"ASM1738817v1 assembly for Clostridia bacterium"
"GCA_017388195.1"	"ASM1738819v1 assembly for Bacteroidales bacterium"
"GCA_017388225.1"	"ASM1738822v1 assembly for Ruminococcus sp."
"GCA_017388485.1"	"ASM1738848v1 assembly for Ruminococcus sp."
"GCA_017388505.1"	"ASM1738850v1 assembly for Ruminococcus sp."
"GCA_017388525.1"	"ASM1738852v1 assembly for Erysipelotrichales bacterium"
"GCA_017388535.1"	"ASM1738853v1 assembly for Lachnospira sp."
"GCA_017394975.1"	"ASM1739497v1 assembly for Bacteroidales bacterium"
"GCA_017395025.1"	"ASM1739502v1 assembly for Synergistaceae bacterium"
"GCA_017395045.1"	"ASM1739504v1 assembly for Bacteroidales bacterium"
"GCA_017395085.1"	"ASM1739508v1 assembly for Oscillospiraceae bacterium"
"GCA_017395105.1"	"ASM1739510v1 assembly for Clostridia bacterium"
"GCA_017395135.1"	"ASM1739513v1 assembly for Synergistaceae bacterium"
"GCA_017395185.1"	"ASM1739518v1 assembly for Butyrivibrio sp."
"GCA_017395205.1"	"ASM1739520v1 assembly for Prevotella sp."
"GCA_017395275.1"	"ASM1739527v1 assembly for Candidatus Methanomethylophilaceae archaeon"
"GCA_017395325.1"	"ASM1739532v1 assembly for Synergistaceae bacterium"
"GCA_017395365.1"	"ASM1739536v1 assembly for Bacteroidales bacterium"
"GCA_017395405.1"	"ASM1739540v1 assembly for Bacillota bacterium"
"GCA_017395425.1"	"ASM1739542v1 assembly for Clostridia bacterium"
"GCA_017395465.1"	"ASM1739546v1 assembly for Paludibacteraceae bacterium"
"GCA_017395505.1"	"ASM1739550v1 assembly for Kiritimatiellia bacterium"
"GCA_017395545.1"	"ASM1739554v1 assembly for Treponema sp."
"GCA_017399505.1"	"ASM1739950v1 assembly for Clostridia bacterium"
"GCA_017399515.1"	"ASM1739951v1 assembly for Clostridia bacterium"
"GCA_017399535.1"	"ASM1739953v1 assembly for Clostridia bacterium"
"GCA_017399555.1"	"ASM1739955v1 assembly for Methanocorpusculum sp."
"GCA_017399585.1"	"ASM1739958v1 assembly for Clostridia bacterium"
"GCA_017399605.1"	"ASM1739960v1 assembly for Ruminococcus sp."
"GCA_017399625.1"	"ASM1739962v1 assembly for Oscillospiraceae bacterium"
"GCA_017399735.1"	"ASM1739973v1 assembly for Oscillospiraceae bacterium"
"GCA_017399765.1"	"ASM1739976v1 assembly for Oscillospiraceae bacterium"
"GCA_017399785.1"	"ASM1739978v1 assembly for Oscillospiraceae bacterium"
"GCA_017399805.1"	"ASM1739980v1 assembly for Oscillospiraceae bacterium"
"GCA_017399815.1"	"ASM1739981v1 assembly for Anaerotignum sp."
"GCA_017399825.1"	"ASM1739982v1 assembly for Lachnospiraceae bacterium"
"GCA_017399885.1"	"ASM1739988v1 assembly for Lachnospiraceae bacterium"
"GCA_017399965.1"	"ASM1739996v1 assembly for Clostridia bacterium"
"GCA_017400035.1"	"ASM1740003v1 assembly for Bacteroidales bacterium"
"GCA_017400625.1"	"ASM1740062v1 assembly for Bacteroidales bacterium"
"GCA_017400665.1"	"ASM1740066v1 assembly for Ruminococcus sp."
"GCA_017400705.1"	"ASM1740070v1 assembly for Lachnospiraceae bacterium"
"GCA_017400745.1"	"ASM1740074v1 assembly for Prevotella sp."
"GCA_017400785.1"	"ASM1740078v1 assembly for Bacteroidales bacterium"
"GCA_017400845.1"	"ASM1740084v1 assembly for Bacteroidaceae bacterium"
"GCA_017400885.1"	"ASM1740088v1 assembly for Lachnospiraceae bacterium"
"GCA_017400925.1"	"ASM1740092v1 assembly for Bacteroidaceae bacterium"
"GCA_017400945.1"	"ASM1740094v1 assembly for Clostridia bacterium"
"GCA_017400965.1"	"ASM1740096v1 assembly for Lachnospiraceae bacterium"
"GCA_017401065.1"	"ASM1740106v1 assembly for Paludibacteraceae bacterium"
"GCA_017401085.1"	"ASM1740108v1 assembly for Mailhella sp."
"GCA_017401105.1"	"ASM1740110v1 assembly for Succinivibrio sp."
"GCA_017401185.1"	"ASM1740118v1 assembly for Ruminococcus sp."
"GCA_017416525.1"	"ASM1741652v1 assembly for Lachnospiraceae bacterium"
"GCA_017416535.1"	"ASM1741653v1 assembly for Bacilli bacterium"
"GCA_017416545.1"	"ASM1741654v1 assembly for Coprobacter sp."
"GCA_017416585.1"	"ASM1741658v1 assembly for Clostridia bacterium"
"GCA_017416595.1"	"ASM1741659v1 assembly for Lachnospiraceae bacterium"
"GCA_017416625.1"	"ASM1741662v1 assembly for Clostridia bacterium"
"GCA_017416635.1"	"ASM1741663v1 assembly for Alphaproteobacteria bacterium"
"GCA_017416665.1"	"ASM1741666v1 assembly for Oscillospiraceae bacterium"
"GCA_017416685.1"	"ASM1741668v1 assembly for Oscillospiraceae bacterium"
"GCA_017416695.1"	"ASM1741669v1 assembly for Bacteroidales bacterium"
"GCA_017429135.1"	"ASM1742913v1 assembly for Clostridia bacterium"
"GCA_017429165.1"	"ASM1742916v1 assembly for Clostridia bacterium"
"GCA_017429205.1"	"ASM1742920v1 assembly for Bacteroidales bacterium"
"GCA_017429225.1"	"ASM1742922v1 assembly for Ruminococcus sp."
"GCA_017429235.1"	"ASM1742923v1 assembly for Ruminococcus sp."
"GCA_017433255.1"	"ASM1743325v1 assembly for Lachnospiraceae bacterium"
"GCA_017437345.1"	"ASM1743734v1 assembly for Clostridia bacterium"
"GCA_017437365.1"	"ASM1743736v1 assembly for Clostridia bacterium"
"GCA_017437385.1"	"ASM1743738v1 assembly for Clostridia bacterium"
"GCA_017437405.1"	"ASM1743740v1 assembly for Bacteroidales bacterium"
"GCA_017437425.1"	"ASM1743742v1 assembly for Spirochaetia bacterium"
"GCA_017483625.1"	"ASM1748362v1 assembly for Prevotella sp."
"GCA_017483645.1"	"ASM1748364v1 assembly for Muribaculaceae bacterium"
"GCA_017483665.1"	"ASM1748366v1 assembly for Bacteroidaceae bacterium"
"GCA_017483705.1"	"ASM1748370v1 assembly for Schwartzia sp. (in: firmicutes)"
"GCA_017483725.1"	"ASM1748372v1 assembly for Prevotella sp."
"GCA_017483735.1"	"ASM1748373v1 assembly for Lachnospiraceae bacterium"
"GCA_017483765.1"	"ASM1748376v1 assembly for Bacteroidaceae bacterium"
"GCA_017483865.1"	"ASM1748386v1 assembly for Ruminococcus sp."
"GCA_017483885.1"	"ASM1748388v1 assembly for Bacteroidales bacterium"
"GCA_017483945.1"	"ASM1748394v1 assembly for Paludibacteraceae bacterium"
"GCA_017483985.1"	"ASM1748398v1 assembly for Bacteroidales bacterium"
"GCA_017484005.1"	"ASM1748400v1 assembly for Selenomonadaceae bacterium"
"GCA_017484025.1"	"ASM1748402v1 assembly for Synergistaceae bacterium"
"GCA_017484045.1"	"ASM1748404v1 assembly for Prevotella sp."
"GCA_017484065.1"	"ASM1748406v1 assembly for Bacilli bacterium"
"GCA_017484085.1"	"ASM1748408v1 assembly for Clostridia bacterium"
"GCA_017484095.1"	"ASM1748409v1 assembly for Ruminococcus sp."
"GCA_017484125.1"	"ASM1748412v1 assembly for Bacilli bacterium"
"GCA_017484135.1"	"ASM1748413v1 assembly for Lachnospiraceae bacterium"
"GCA_017510225.1"	"ASM1751022v1 assembly for Bacilli bacterium"
"GCA_017510245.1"	"ASM1751024v1 assembly for Clostridia bacterium"
"GCA_017510265.1"	"ASM1751026v1 assembly for Enterococcus sp."
"GCA_017510285.1"	"ASM1751028v1 assembly for Solobacterium sp."
"GCA_017510305.1"	"ASM1751030v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017510325.1"	"ASM1751032v1 assembly for Solobacterium sp."
"GCA_017510335.1"	"ASM1751033v1 assembly for Paracoccaceae bacterium"
"GCA_017510345.1"	"ASM1751034v1 assembly for Bacillota bacterium"
"GCA_017510585.1"	"ASM1751058v1 assembly for Solobacterium sp."
"GCA_017510605.1"	"ASM1751060v1 assembly for Clostridiales bacterium"
"GCA_017510625.1"	"ASM1751062v1 assembly for Mycoplasmataceae bacterium"
"GCA_017510635.1"	"ASM1751063v1 assembly for Erysipelotrichaceae bacterium"
"GCA_017510675.1"	"ASM1751067v1 assembly for Solobacterium sp."
"GCA_017510705.1"	"ASM1751070v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017510725.1"	"ASM1751072v1 assembly for Mogibacterium sp."
"GCA_017510735.1"	"ASM1751073v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017510745.1"	"ASM1751074v1 assembly for Atopobiaceae bacterium"
"GCA_017510785.1"	"ASM1751078v1 assembly for Atopobiaceae bacterium"
"GCA_017510805.1"	"ASM1751080v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017510825.1"	"ASM1751082v1 assembly for Clostridia bacterium"
"GCA_017510835.1"	"ASM1751083v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017510845.1"	"ASM1751084v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017510875.1"	"ASM1751087v1 assembly for Atopobiaceae bacterium"
"GCA_017510925.1"	"ASM1751092v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017510945.1"	"ASM1751094v1 assembly for Mycoplasmataceae bacterium"
"GCA_017510985.1"	"ASM1751098v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017511005.1"	"ASM1751100v1 assembly for Clostridiales bacterium"
"GCA_017511015.1"	"ASM1751101v1 assembly for Exiguobacterium sp."
"GCA_017511045.1"	"ASM1751104v1 assembly for Lachnospiraceae bacterium"
"GCA_017511105.1"	"ASM1751110v1 assembly for Oscillospiraceae bacterium"
"GCA_017511145.1"	"ASM1751114v1 assembly for Bacillota bacterium"
"GCA_017511205.1"	"ASM1751120v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017511225.1"	"ASM1751122v1 assembly for Bacilli bacterium"
"GCA_017511245.1"	"ASM1751124v1 assembly for Parasporobacterium sp."
"GCA_017511265.1"	"ASM1751126v1 assembly for Clostridia bacterium"
"GCA_017511275.1"	"ASM1751127v1 assembly for Bacilli bacterium"
"GCA_017511305.1"	"ASM1751130v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017511345.1"	"ASM1751134v1 assembly for Lachnospiraceae bacterium"
"GCA_017511365.1"	"ASM1751136v1 assembly for Methanosphaera sp."
"GCA_017513325.1"	"ASM1751332v1 assembly for Clostridia bacterium"
"GCA_017513345.1"	"ASM1751334v1 assembly for Alphaproteobacteria bacterium"
"GCA_017513365.1"	"ASM1751336v1 assembly for Alphaproteobacteria bacterium"
"GCA_017513505.1"	"ASM1751350v1 assembly for Alistipes sp."
"GCA_017513525.1"	"ASM1751352v1 assembly for Clostridia bacterium"
"GCA_017513545.1"	"ASM1751354v1 assembly for Clostridia bacterium"
"GCA_017513565.1"	"ASM1751356v1 assembly for Clostridium sp."
"GCA_017513575.1"	"ASM1751357v1 assembly for Clostridia bacterium"
"GCA_017513625.1"	"ASM1751362v1 assembly for Lachnospiraceae bacterium"
"GCA_017513665.1"	"ASM1751366v1 assembly for Phascolarctobacterium sp."
"GCA_017513765.1"	"ASM1751376v1 assembly for Clostridia bacterium"
"GCA_017513795.1"	"ASM1751379v1 assembly for Ruminococcus sp."
"GCA_017513845.1"	"ASM1751384v1 assembly for Alistipes sp."
"GCA_017513875.1"	"ASM1751387v1 assembly for Oscillospiraceae bacterium"
"GCA_017513905.1"	"ASM1751390v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017513925.1"	"ASM1751392v1 assembly for Lachnospiraceae bacterium"
"GCA_017514025.1"	"ASM1751402v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017514045.1"	"ASM1751404v1 assembly for Candidatus Saccharibacteria bacterium"
"GCA_017514065.1"	"ASM1751406v1 assembly for Candidatus Saccharibacteria bacterium"
